,MRR,Hits@1,Hits@3,Hits@10
TransE,0.2784471604615159,0.05405405405405406,0.3918918918918919,0.7882882882882883
DistMult,0.0030036907265285507,0.0,0.0,0.0045045045045045045
ComplEx,0.0038779043641762683,0.0,0.0,0.0045045045045045045
RotatE,0.12971948795008165,0.0,0.06306306306306306,0.5720720720720721
